commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,transport,2.615882000e+00,108.995083,31.197
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,diagnostic_reduction,1.118912325e+00,46.621347,13.344
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,fence,3.510000000e-06,0.000146,0.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,4,4,768,24,TOTAL,8.384949013e+00,349.372876,100.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,halos,5.098843965e+00,212.451832,32.270
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,cfl_reduction,2.470521491e+00,102.938395,15.635
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,transport,8.175594094e+00,340.649754,51.742
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,diagnostic_reduction,5.577016200e-02,2.323757,0.353
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,fence,3.180000000e-06,0.000132,0.000
adde23b,transport-euler-periodic-mbox,mpi+kokkos-openmp,8,4,1086,24,TOTAL,1.580073289e+01,658.363870,100.000
